id,age,gender,annual_income,loan_amount,loan_term,employment_type,purpose,num_dependents,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquencies,num_loans,num_defaults,total_loan_amount,total_repaid_amount,avg_dpd,months_on_book,status,dpd,payment_amount,num_cards,credit_limit,utilization_ratio,max_utilization_ratio,late_payments,default_12m
157,22,Male,1465721,480568,48,Self-employed,Education,4,721,5,1,695140,7,6,1,1885370,434317,31,1,Paid,17,29516,2,181644,0.5947488043835171,0.3327604212242001,10,0
158,56,Female,950425,949952,24,Salaried,Business,3,355,2,7,766117,0,8,0,1225152,1608606,61,2,Paid,1,36122,1,248766,0.2492124282637876,0.1706285882076874,17,0
159,52,Male,1694611,866328,36,Self-employed,Car,1,648,9,2,789007,7,2,2,844431,237064,0,25,Paid,47,26002,3,396782,0.4350095407982685,0.299784054359599,9,0
160,25,Male,1259892,418230,60,Salaried,Home,3,824,3,6,254752,1,5,1,1712443,299702,79,52,Paid,47,96931,4,372570,0.4942217485831103,0.3159476884487019,16,0
161,60,Male,211379,507704,36,Salaried,Car,4,538,2,5,243965,1,8,0,1245548,1576021,4,42,Paid,14,94354,4,106728,0.5052050894667526,0.4308405081212433,13,0
162,57,Female,1530980,834473,60,Self-employed,Education,2,342,6,6,206078,7,4,2,775795,299944,69,23,Paid,83,59800,1,473048,0.3206432795054941,0.5442471819321208,18,0
163,33,Female,777777,945858,60,Self-employed,Business,2,332,4,1,527837,3,7,2,1472501,1143651,32,56,Paid,1,97084,3,259629,0.6639914053098437,0.670751618699479,15,1
164,45,Male,505293,507329,60,Self-employed,Business,5,841,3,7,641065,3,9,2,735638,170205,13,25,Paid,69,51466,2,170905,0.8270808940121389,0.4705264411355815,7,0
165,49,Male,1961777,986417,24,Self-employed,Business,0,350,7,3,964710,6,0,1,1438094,1715034,89,16,Late,45,74139,1,87678,0.2629808437840183,0.5780008648823229,18,1
166,52,Male,452929,260902,48,Self-employed,Education,2,792,5,3,226985,3,4,2,1932691,1698819,8,37,Late,33,34689,1,387667,0.440998216351549,0.4891708719334435,18,1
167,21,Female,1242848,70908,24,Self-employed,Car,5,341,3,3,56143,7,8,1,314184,107916,55,2,Late,53,80277,4,315858,0.24612501426153,0.1881836770427201,16,0
168,56,Male,1589842,990182,36,Self-employed,Business,1,473,6,6,267968,8,5,1,212493,1228659,41,39,Paid,65,64379,2,225780,0.1624475325735421,0.3669531301105334,18,0
169,50,Female,733655,902753,48,Salaried,Education,3,672,4,6,445246,0,5,1,1690727,1686361,4,52,Late,57,29838,4,489586,0.1606312094538099,0.2104938986809768,8,0
170,26,Male,460396,667846,36,Self-employed,Education,0,857,3,2,928770,6,1,0,1953485,1648766,64,4,Paid,10,76563,4,203900,0.8789886227960826,0.2453112747043223,18,0
171,22,Female,237362,707585,12,Salaried,Education,0,397,8,3,446628,1,7,0,494044,1347266,48,12,Late,67,3416,1,180181,0.1947242648755404,0.2842471981293993,7,0
172,34,Male,860760,273647,48,Salaried,Business,4,616,1,2,333278,4,5,2,590570,362201,24,42,Paid,6,53133,4,166622,0.3876410493343408,0.5651665270496393,9,0
173,51,Female,1578012,586253,36,Self-employed,Business,3,681,1,1,365715,8,1,1,291967,748582,87,29,Paid,11,24157,3,67792,0.0264061097091002,0.1231280529464332,1,0
174,40,Female,309420,565418,12,Self-employed,Car,0,534,8,5,359182,3,1,1,840792,1754885,88,28,Late,54,87234,4,381508,0.5448846594214617,0.0323399366352812,11,0
175,64,Male,1693406,686072,60,Self-employed,Education,0,680,2,5,331247,7,8,1,1145610,252036,43,50,Paid,35,79887,2,215579,0.7253513734827824,0.8086965790458523,2,0
176,40,Female,452506,444157,36,Salaried,Car,5,330,8,2,57984,1,7,1,1317966,648262,10,21,Late,69,54967,3,100634,0.3184333540694337,0.0780693288812162,17,0
177,24,Female,885676,693278,12,Salaried,Education,2,859,9,5,829170,9,0,0,1500247,18970,73,16,Paid,56,56001,3,110087,0.7548660058731679,0.7691655047252197,4,0
178,25,Female,1689792,383398,36,Salaried,Home,0,820,2,4,414964,4,3,0,285068,24558,84,35,Paid,48,6323,4,256333,0.6115653603608409,0.4294335660478346,5,0
179,48,Female,1872338,760295,12,Self-employed,Education,5,714,8,2,214326,1,1,2,1247578,892011,16,40,Late,25,57839,3,178621,0.1979173764562655,0.0663088065963789,15,1
180,63,Male,1150887,664085,12,Self-employed,Business,2,781,2,3,848656,9,2,2,784184,351709,26,29,Late,34,63159,4,457689,0.0884347551418762,0.3772099260274477,16,1
181,25,Male,405095,412868,12,Self-employed,Car,3,723,4,6,362233,1,2,1,1827758,95968,19,38,Late,89,9744,2,64604,0.6645710717383819,0.3235863677946926,0,0
182,28,Female,810280,951490,36,Salaried,Business,5,324,7,7,496475,6,5,2,1040229,394797,67,45,Late,24,17372,4,237730,0.5289619298492582,0.1872369588484297,14,0
183,24,Male,1812804,632081,24,Self-employed,Education,4,363,8,3,42070,6,3,0,846817,193732,61,34,Paid,63,84568,4,101234,0.9560710491559838,0.6379891126226931,8,0
184,58,Male,1156671,743787,12,Self-employed,Education,3,864,6,3,947744,5,1,0,412048,392911,56,24,Late,67,57231,2,234478,0.7152928229299486,0.2140755472073011,7,0
185,21,Female,1976288,717210,48,Self-employed,Car,1,524,7,2,438200,2,8,1,75431,1753322,20,10,Paid,35,71105,2,70339,0.9613781417049064,0.1097489792292543,1,1
186,59,Male,1427851,800425,60,Salaried,Education,5,410,8,5,384852,4,8,0,1758836,490309,68,4,Paid,85,43749,4,419138,0.6010105051895319,0.9190836451931332,5,0
187,44,Female,1913734,980470,48,Salaried,Car,3,318,6,6,41891,0,4,2,1250295,1306822,12,51,Paid,48,51286,4,79437,0.6996304176861705,0.4038788775612865,11,0
188,47,Female,1544104,251534,60,Self-employed,Car,5,426,5,1,62299,5,2,2,488512,589219,1,30,Paid,48,30277,2,480209,0.7161637829502973,0.4903914319806244,5,0
189,60,Male,1857121,780183,60,Salaried,Business,2,578,3,6,786868,1,4,0,288185,1440234,56,11,Late,46,78106,4,66105,0.4511666603654164,0.8844522836907366,17,0
190,55,Male,1722265,915141,36,Salaried,Car,3,313,1,7,358121,1,7,2,708659,108079,80,59,Paid,2,95229,2,184940,0.0065292185626434,0.1937514189755134,9,0
191,44,Male,605642,314740,48,Salaried,Home,2,818,9,5,768030,0,6,1,258642,726082,60,59,Paid,82,96910,1,229631,0.0611436019520769,0.9431175482407308,16,1
192,42,Female,1318847,670643,60,Salaried,Business,0,644,6,3,225475,8,9,2,1704366,1021327,86,3,Paid,55,12497,4,461889,0.4775602335141191,0.3162128349572541,18,0
193,46,Female,570894,163763,24,Self-employed,Car,3,608,7,2,62330,0,5,1,1929739,883720,32,2,Paid,84,22979,1,443912,0.9166473204527582,0.6593326319279615,0,1
194,47,Male,1476306,203641,60,Self-employed,Business,0,832,9,5,428321,2,6,0,1827094,272609,44,35,Late,51,16592,2,349926,0.3546347304618615,0.8957728339887049,19,0
195,24,Female,229589,825935,24,Self-employed,Education,4,395,4,3,44928,6,6,0,1718970,1046959,56,38,Late,89,55172,3,454474,0.0420555459881634,0.8165880796660152,5,0
196,59,Female,449559,953050,12,Salaried,Home,0,841,3,2,92861,3,7,1,704576,175160,79,16,Paid,80,33309,2,212126,0.2347862303348142,0.9627022292503592,7,0
197,48,Male,1999636,701785,48,Self-employed,Business,2,791,3,6,605510,1,7,1,1405358,866537,78,11,Late,82,7756,3,161227,0.4713225128900929,0.6161413898031919,6,0
198,43,Female,1141287,788666,60,Self-employed,Home,2,758,2,7,539058,5,2,2,208259,1207391,4,52,Late,45,63413,4,354655,0.3829585285335143,0.1820464311268675,12,0
199,27,Male,1070548,611747,36,Self-employed,Education,0,728,5,5,214393,2,4,2,1784015,1597488,15,33,Late,46,80169,3,365050,0.958743718497314,0.3981078559829197,17,0
200,33,Female,1086064,188105,36,Salaried,Business,0,595,7,1,385365,9,1,2,1965394,511178,25,12,Paid,30,17239,4,496614,0.9042514569093256,0.7023080848343948,14,0
201,46,Female,1842689,645568,60,Self-employed,Business,0,714,5,2,425518,9,4,0,1944658,1513292,60,59,Paid,21,15780,3,55961,0.8749776177058247,0.8446011960615636,17,0
202,56,Male,1868287,906566,48,Salaried,Car,1,631,2,5,705331,4,6,0,1313104,650897,25,4,Late,53,78923,4,389956,0.4855874154223166,0.3609956837044371,6,0
203,23,Male,1845738,763156,12,Salaried,Business,0,426,3,5,496205,8,6,1,1025539,306410,76,4,Paid,74,18528,1,224131,0.7227394491062152,0.9246284490959,5,0
204,45,Male,937855,132516,48,Self-employed,Car,1,765,5,2,546952,8,5,0,681564,692997,5,2,Late,55,87187,4,92074,0.3541863177958676,0.2339617364552133,10,0
205,27,Female,1343152,517003,36,Salaried,Business,4,342,1,3,293467,3,4,2,1859154,1357194,39,27,Late,3,18952,1,356088,0.6822146585168612,0.2159439701429069,7,0
206,56,Female,1124044,902806,60,Salaried,Home,2,757,4,3,695661,9,5,0,1224170,58372,81,38,Late,63,69595,2,212205,0.3265179780687599,0.2056207376190926,18,0
207,40,Male,1487499,357217,12,Salaried,Car,5,506,6,6,558756,8,5,2,924963,1272922,73,6,Late,29,69517,4,68855,0.6897915250080928,0.6352615210499443,11,0
208,59,Male,1818103,250988,24,Salaried,Business,3,605,9,6,982299,0,1,1,589964,428915,9,46,Late,73,82100,4,198585,0.921279982068518,0.6821141422408096,11,1
209,32,Female,296632,822543,60,Salaried,Home,2,740,2,2,749575,3,5,1,1179395,769311,78,9,Paid,11,20505,4,290237,0.5826574388157509,0.6894263401430597,0,1
210,34,Male,1637914,596831,48,Salaried,Home,2,666,7,6,632583,3,2,0,1100814,1116997,42,10,Late,14,25799,3,368084,0.7489111861440818,0.341224033320282,11,0
211,22,Male,1500401,995250,60,Self-employed,Home,4,850,5,6,282534,0,0,1,299778,1128988,69,1,Late,17,53646,1,257551,0.4262121342836245,0.1848437767692855,6,0
212,31,Female,1693395,310469,48,Salaried,Car,0,772,5,4,563155,6,9,0,413277,1123963,76,37,Late,62,61791,2,215564,0.7916079323853794,0.2917166046922896,19,0
213,45,Male,764070,398263,24,Salaried,Car,1,357,7,5,764071,3,5,1,1226930,578995,3,51,Late,41,17401,3,121404,0.9130197883499436,0.0333847312929664,14,0
214,56,Male,1165042,167098,48,Self-employed,Home,2,697,1,5,324930,9,5,1,294028,1090011,9,31,Late,6,42331,2,277028,0.7706593695241041,0.8350533748958521,11,0
215,60,Female,1992507,187878,36,Salaried,Education,2,588,8,6,395472,5,4,1,388802,1216569,49,40,Paid,48,13112,2,92431,0.2042946873437552,0.0825639185169285,10,0
216,43,Female,1360808,505597,24,Self-employed,Education,4,707,4,2,514806,2,3,2,1221535,804783,45,33,Paid,76,48574,1,248747,0.0387190053662085,0.3096446483039655,4,0
217,44,Male,1715536,173596,24,Salaried,Home,1,558,6,5,286028,2,1,2,954814,1437954,62,53,Late,8,63230,1,157877,0.3875557334468018,0.1885136791222593,12,0
218,35,Male,488580,441930,60,Self-employed,Business,5,481,8,7,720295,5,9,2,1460898,1598600,28,47,Late,47,68540,3,97879,0.1767457659552525,0.8230851194921558,6,0
219,49,Male,1097578,754993,12,Self-employed,Business,3,557,6,7,343319,3,6,2,196067,407557,67,42,Late,31,91608,2,411901,0.8264584865666974,0.653019744896081,17,0
220,22,Male,1416650,251191,36,Salaried,Education,0,533,8,4,949026,0,4,0,591624,1679932,68,54,Late,76,48562,3,237866,0.474455822612719,0.7141924671998376,9,1
221,39,Female,1748762,162045,24,Self-employed,Car,5,828,8,5,656627,3,4,1,1706901,1014940,67,37,Paid,64,58033,1,357666,0.102299167251449,0.2447058920163577,17,0
222,29,Female,1144043,595523,60,Self-employed,Education,1,820,1,7,267103,8,1,1,720340,114284,57,56,Late,5,95313,1,232291,0.0939384821215433,0.3212016420937967,8,1
223,21,Male,621164,511545,24,Self-employed,Business,5,547,3,2,69971,4,7,0,1285086,1673288,83,42,Paid,8,25593,1,356318,0.4583077120924699,0.1233795174575252,13,0
224,63,Male,1786833,189021,48,Self-employed,Car,3,591,6,1,253218,8,8,0,690344,1711272,35,55,Paid,42,71404,1,302241,0.1918180652621872,0.4938104527622222,12,0
225,40,Male,839944,76349,12,Self-employed,Business,2,721,9,4,776730,6,3,1,663860,466050,78,18,Paid,26,27116,1,320386,0.4688435102246,0.4434934203345625,9,0
226,44,Male,1632177,447789,60,Self-employed,Business,2,453,1,3,273808,4,6,2,1009297,389481,68,5,Paid,15,5898,2,332177,0.3934852966331491,0.252322800279125,19,1
227,21,Female,1347244,993003,24,Salaried,Business,1,713,8,2,213505,0,4,2,343538,929062,48,59,Late,13,84873,2,84677,0.6637576418096104,0.8393836652635402,4,0
228,57,Male,750944,469290,24,Self-employed,Home,4,801,3,7,897605,9,7,1,810056,1244277,4,57,Paid,46,55141,2,187502,0.7580185818940661,0.4544501879795507,17,0
229,30,Female,288325,547479,60,Self-employed,Business,5,486,1,1,48573,1,6,2,1580962,1547939,57,9,Paid,32,64187,2,381667,0.4373037262197951,0.6806425485456967,15,0
230,59,Male,1903915,125141,36,Salaried,Home,0,578,5,7,90655,1,5,1,911059,1210699,31,35,Late,68,27462,2,493948,0.0245437410761465,0.0690433302205255,17,0
231,44,Female,1054142,355729,60,Self-employed,Business,3,841,2,7,81346,2,2,1,1873786,150850,43,45,Paid,28,6222,4,441675,0.6094295633743371,0.9126588306314012,3,0
232,49,Female,726407,536536,48,Self-employed,Education,3,807,6,5,289819,7,0,1,1185649,1317837,74,42,Late,9,58573,4,317906,0.6957377182432153,0.1018010793504925,5,0
233,50,Male,1739898,124877,48,Salaried,Education,3,640,7,2,62720,5,3,1,1569910,563471,54,10,Late,20,12475,2,305641,0.3388475033254557,0.4120452454362835,10,1
234,31,Male,1346111,694312,24,Salaried,Car,3,427,3,2,909335,9,8,0,283588,337018,79,14,Paid,18,23032,2,461941,0.4095789303192882,0.4771179920147241,16,0
235,22,Male,279521,541897,48,Salaried,Home,5,788,3,7,626987,4,2,2,84995,56150,14,36,Late,31,95961,3,157213,0.8325111419221229,0.7018255926893627,10,0
236,53,Male,1485998,409281,48,Self-employed,Business,3,320,3,1,837280,0,6,1,734083,587695,7,16,Paid,4,75443,4,394601,0.8550327426900691,0.6658604658484677,3,1
237,40,Female,1748750,966985,36,Salaried,Home,3,548,1,2,719852,8,3,1,892791,23361,12,34,Late,15,4017,1,112518,0.5687293680368322,0.3416856210934751,15,0
238,32,Male,1344309,659557,36,Salaried,Business,1,525,9,2,293278,6,7,1,1503379,1522049,0,8,Paid,31,49263,1,277999,0.5777924094108603,0.8899423884971597,4,0
239,42,Female,1425874,749445,12,Self-employed,Business,3,551,4,5,324184,7,8,0,1799975,1136452,20,44,Paid,70,16376,4,392971,0.5037035011276636,0.8199056965579402,16,1
240,62,Female,1054968,217848,36,Salaried,Education,3,536,8,3,429723,9,7,0,1379292,531729,45,49,Late,78,57226,1,455420,0.2790411415462208,0.594016111296217,2,0
241,27,Male,863021,722048,24,Self-employed,Car,1,401,6,4,289393,4,1,1,1041998,194170,70,19,Paid,17,37156,2,178313,0.9302724124196772,0.2985764507819723,10,0
242,55,Male,1707400,407788,48,Salaried,Education,0,703,1,2,761699,0,3,0,878486,853446,6,41,Paid,48,74130,3,99943,0.3386725632930667,0.7985748932959877,12,1
243,64,Female,1041392,875503,48,Salaried,Education,1,349,9,5,497483,8,0,2,819888,1663375,63,34,Paid,3,90209,3,116173,0.4193305404564059,0.0213021665173889,3,0
244,24,Female,539782,977800,12,Self-employed,Car,1,358,6,2,38042,2,9,1,214457,997985,18,1,Late,27,25290,4,151116,0.0616736917040129,0.8713682202244455,12,0
245,21,Male,1635314,56646,60,Self-employed,Home,3,823,3,3,370049,1,4,1,1309695,1455167,48,27,Late,32,91744,1,301822,0.1542137901896106,0.942409721459179,18,0
246,45,Female,1740364,510391,24,Self-employed,Business,5,380,7,4,944164,5,7,2,632153,1516554,41,5,Late,70,65885,3,64806,0.2649319749756088,0.5657729021202268,4,0
247,45,Female,630737,65617,24,Salaried,Business,4,465,8,6,625381,6,1,1,1471320,960297,41,19,Paid,88,85085,2,424884,0.3648161430351516,0.4346188444566955,9,0
248,44,Female,306918,987056,36,Salaried,Car,2,489,6,6,95624,6,7,2,353552,927474,86,9,Paid,6,15611,4,191425,0.1371174950928424,0.2997709858004903,7,1
249,27,Female,1351938,704219,24,Self-employed,Business,5,649,5,1,345805,6,3,2,1080577,1206113,60,23,Paid,52,97604,1,338207,0.3464371800898957,0.5338317257471032,3,0
250,33,Female,1760499,328626,36,Salaried,Education,5,744,6,4,485953,6,1,2,1628681,1251073,13,12,Paid,71,72954,2,438149,0.7399990098850167,0.0756499154880683,14,0
251,30,Male,1358933,217760,12,Self-employed,Business,1,646,2,7,151273,2,3,0,508163,1465904,86,59,Paid,60,54686,1,99281,0.6287288017995524,0.9063257363614976,5,1
252,62,Female,1817536,598960,60,Self-employed,Home,4,686,9,3,646366,8,1,2,988980,382865,75,42,Late,16,19218,1,460118,0.714018257419025,0.3153734808719759,13,0
253,25,Male,267532,258650,36,Salaried,Business,4,484,5,1,97757,7,9,2,1726106,1102045,18,47,Paid,66,8795,4,209155,0.6001790053225451,0.4316018655252791,10,0
254,38,Female,339741,830841,24,Salaried,Home,2,315,8,3,218602,6,8,2,525141,1062582,77,28,Late,23,96579,2,293104,0.0425437283715709,0.8425737026601547,5,0
255,37,Female,896812,274232,24,Self-employed,Education,2,688,3,5,509813,3,6,2,118153,661858,15,58,Paid,40,94901,3,469830,0.0413016841298558,0.2316321341439826,7,0
256,28,Female,371702,57233,36,Self-employed,Education,3,792,8,4,490525,4,1,2,1698451,785982,1,25,Late,38,92684,2,221404,0.7762572853535376,0.7805912691879706,3,0
257,37,Male,1826601,217422,24,Salaried,Car,0,602,8,5,18418,8,4,1,368081,309797,54,9,Late,21,53179,1,91834,0.6801718540830854,0.1747632602121103,8,1
258,44,Male,1066063,241389,24,Self-employed,Education,4,727,5,5,448692,9,9,2,789039,1466856,6,21,Late,36,38046,4,443361,0.1594313861379663,0.975206586433295,1,1
259,47,Female,793166,53650,48,Salaried,Business,0,725,2,4,946489,3,7,2,682417,1489757,37,51,Paid,4,17355,1,351331,0.0796889388120349,0.389044844789992,1,0
260,23,Male,221204,908493,60,Self-employed,Car,2,835,6,7,250953,6,5,1,257764,1487585,42,22,Late,27,37976,1,159026,0.3785931131417827,0.6240638126778533,10,0
261,29,Male,1268551,377254,24,Self-employed,Business,4,707,2,2,302316,2,6,2,281749,530152,82,5,Late,28,93180,3,242706,0.8290601254763116,0.2250984701014864,15,0
262,39,Female,458306,190788,60,Self-employed,Business,5,611,5,1,638961,9,5,0,566390,1016548,66,25,Paid,12,32879,1,289415,0.9341665893428358,0.6527632895661879,6,1
263,59,Female,1931160,77196,36,Salaried,Business,1,829,7,3,459819,6,3,2,1647937,1328787,59,10,Paid,80,5382,4,277844,0.6392023043257007,0.3232051100517591,5,1
264,28,Male,1113132,211710,48,Self-employed,Home,0,653,8,1,427867,8,7,2,1949710,419054,25,5,Paid,75,1541,2,181512,0.5118502406236866,0.0552660777104165,11,1
265,42,Male,1947458,736433,48,Salaried,Business,2,704,1,7,714057,4,3,0,1379818,1103961,48,9,Late,70,53561,2,288431,0.3287167883884325,0.2883227743379722,8,0
266,49,Female,1103348,933546,60,Self-employed,Home,1,658,9,6,62157,6,3,2,1585891,1194551,46,31,Late,88,95430,3,129826,0.1119969799385535,0.7458584848789404,9,0
267,30,Male,205266,821986,48,Salaried,Car,2,787,3,7,561959,0,5,0,1407876,1008872,60,18,Paid,36,8432,3,236108,0.2466606750288782,0.2011546009536847,2,0
268,29,Male,1687301,434804,12,Salaried,Business,4,622,4,6,936916,6,1,2,315570,416304,7,23,Paid,51,8222,1,222546,0.3993837778802521,0.0119425562296046,4,1
269,36,Female,1591823,309114,36,Salaried,Car,4,655,7,7,192205,5,9,0,1777002,1575889,17,2,Late,18,91745,4,381812,0.7030186135459573,0.1827156295246063,14,0
270,24,Female,343899,370768,48,Self-employed,Car,1,833,2,6,436373,5,0,1,1380680,138805,83,53,Late,63,74749,4,431201,0.1750816768809724,0.0119134469962979,9,0
271,48,Female,421553,651419,24,Self-employed,Car,5,618,6,7,384168,0,5,2,1905181,79692,72,9,Late,58,47762,4,475461,0.9043782715395604,0.9198871123150884,4,0
272,47,Male,1383707,958485,24,Self-employed,Education,1,379,6,1,257041,4,9,1,1627741,1009669,11,59,Paid,10,52778,1,83432,0.5436100731824929,0.4736992498886012,8,0
273,50,Male,1378820,340528,36,Self-employed,Education,4,550,8,3,780340,5,4,2,998995,1499890,84,11,Late,55,93812,4,453887,0.4064167248618725,0.5642159348783776,17,0
274,35,Male,1242059,690742,12,Salaried,Home,3,657,8,5,928905,5,3,2,1571079,1060775,30,20,Late,13,34619,4,88359,0.0718817346053831,0.1010581132967375,0,0
275,32,Male,853008,251390,60,Self-employed,Business,5,504,1,5,391587,9,6,1,1290568,355112,79,36,Late,36,96616,4,160321,0.1760020617965845,0.0597822970063685,17,0
276,26,Male,1151448,544064,24,Self-employed,Education,0,480,8,4,163098,9,1,2,800677,53617,54,51,Late,86,74423,1,153535,0.984387988527615,0.6954231702448084,18,0
277,61,Female,949911,375617,24,Salaried,Car,3,305,6,2,587805,1,0,0,1387234,263752,77,19,Late,48,58351,1,250259,0.8713620593972019,0.2173248850658775,0,0
278,28,Male,1636971,402081,36,Self-employed,Car,1,541,5,5,478427,3,8,2,152211,958875,7,54,Paid,21,58544,4,60358,0.2559484452482211,0.6313704566975838,14,0
279,50,Female,795187,554442,60,Self-employed,Education,1,872,8,2,979238,2,8,0,584177,1479280,59,31,Paid,42,82750,3,408811,0.2648892982576258,0.8495404026746964,2,0
280,55,Female,1027624,636133,12,Salaried,Business,3,369,4,1,823671,6,4,2,1370440,426843,33,28,Paid,37,90936,1,223015,0.8932491139177876,0.1295256429164036,8,0
281,48,Male,1576196,894953,24,Self-employed,Business,5,443,2,7,169577,7,5,0,823083,427143,76,14,Late,87,90263,4,262179,0.8434498776455001,0.7886337529586209,12,0
282,49,Male,720467,295155,60,Salaried,Car,5,817,7,3,81103,4,2,2,1553105,178309,81,6,Paid,78,15112,4,190219,0.3181110415942306,0.97909164463648,4,0
283,45,Male,1561569,347500,24,Salaried,Home,5,443,3,5,139120,5,5,1,282102,486242,73,13,Paid,80,78603,2,443045,0.1604786252688581,0.8404525819379726,5,0
284,44,Male,1815144,577872,48,Self-employed,Education,5,801,3,1,211357,0,4,0,1041698,959114,50,15,Late,84,14033,2,239160,0.5886058592308029,0.595210125061233,19,1
285,44,Female,1716304,274566,48,Salaried,Business,0,628,1,7,560114,3,4,0,1800938,602981,82,48,Paid,51,26765,4,332623,0.0039609523568417,0.1576553148073169,0,0
286,21,Female,349510,761987,48,Salaried,Education,3,831,5,5,697048,8,1,0,1108716,458281,38,21,Late,55,5845,3,100096,0.9594444951321196,0.1655682177454677,14,1
287,62,Male,799168,928841,36,Salaried,Business,2,344,4,1,721823,2,4,0,305818,1152001,0,31,Paid,17,88482,1,464388,0.6542256264270995,0.9166808665491802,16,0
288,33,Female,1281383,299461,12,Self-employed,Home,1,412,1,2,695493,1,3,1,1696274,453937,27,39,Late,69,87509,1,331048,0.5075422048213827,0.8172552107473899,16,0
289,63,Male,376676,96825,24,Self-employed,Education,1,498,1,1,169880,8,4,1,400133,43821,31,21,Paid,13,90082,4,88020,0.1608190522890816,0.8706695659994347,4,0
290,25,Male,498881,816392,12,Self-employed,Home,0,478,1,1,934116,1,0,0,1922174,1286108,78,46,Paid,3,19873,2,493380,0.2365314518793331,0.0495117036995607,12,0
291,38,Male,1045783,735131,12,Salaried,Business,4,803,7,2,411867,1,3,2,1330969,533835,48,28,Late,31,79760,4,264426,0.9869819441217847,0.8577881176765724,8,0
292,64,Male,1195110,729600,48,Salaried,Car,5,796,4,2,929308,3,5,1,1845449,79035,20,55,Paid,72,94727,4,270137,0.1813983012756462,0.5736246045776672,15,0
293,47,Male,1180145,159179,12,Salaried,Home,2,476,9,2,12599,3,1,2,149740,418575,67,36,Late,34,1193,2,182226,0.9354202561650076,0.9374926465372218,1,0
294,31,Male,631116,248426,12,Salaried,Home,1,489,6,6,844537,8,7,0,384959,181964,32,31,Late,20,13700,4,120844,0.9124354885836892,0.2275532344769938,6,0
295,23,Male,288847,296445,60,Self-employed,Education,0,375,9,1,504550,2,8,0,625242,222639,80,5,Late,23,54238,2,239569,0.028501300242507,0.4913476160239378,8,0
296,49,Female,1197698,725297,24,Salaried,Education,4,758,8,6,65984,7,1,0,715458,185577,81,9,Late,53,73777,4,461708,0.0490474515669253,0.6461589493567298,3,0
297,44,Female,953394,745563,24,Self-employed,Education,0,348,8,6,577417,3,3,1,1100359,1381106,0,11,Paid,46,4073,3,463858,0.9400917728705026,0.5236893650441864,4,0
298,21,Female,1868941,887236,24,Self-employed,Education,4,750,9,1,977923,4,5,0,1429188,754979,28,45,Late,4,17751,4,241495,0.9002659117846996,0.5373396808365822,2,0
299,50,Female,283344,444679,60,Salaried,Education,1,302,6,1,505689,1,4,2,529851,467521,4,55,Late,1,48722,3,70619,0.3735081385308831,0.2349299410773161,1,0
300,55,Female,693379,376210,24,Self-employed,Home,5,396,3,5,984366,3,5,0,737930,1125919,6,12,Late,45,55976,3,363394,0.5161476891956246,0.5544192625265005,4,0
301,36,Male,955988,442323,36,Self-employed,Education,5,713,8,4,797135,9,1,0,839267,802150,43,50,Paid,22,60782,4,174152,0.583506412446155,0.0022084676447413,15,0
302,33,Male,1718919,825395,12,Self-employed,Education,3,449,3,5,552223,1,3,0,1933475,1138025,31,2,Late,6,21465,3,53764,0.9226882838977388,0.7048011726238689,19,1
303,52,Male,485467,634611,24,Salaried,Business,1,341,2,6,270351,9,1,1,429454,482634,24,14,Late,41,76655,1,450105,0.5058504244901331,0.3340726595705335,5,0
304,42,Female,394024,344430,12,Self-employed,Business,4,710,5,5,753383,6,3,2,657205,940347,48,22,Late,11,24254,3,460397,0.1969888785697725,0.7669899232328148,13,0
305,29,Male,211598,624000,60,Salaried,Business,4,680,7,6,958175,0,9,2,1114803,1397108,4,59,Late,10,8733,2,148945,0.3951229518258357,0.1219595894191244,16,0
306,34,Male,1108007,685124,24,Self-employed,Car,0,805,8,3,333970,7,9,2,1521991,739720,13,23,Late,66,38401,2,354777,0.5985009739485616,0.071165544941552,5,0
307,54,Female,379273,98476,24,Salaried,Education,0,449,7,5,757263,5,9,1,434447,1158389,8,50,Paid,7,48661,4,307973,0.4041971430271098,0.2061942305398202,0,0
308,43,Male,1669826,251754,60,Salaried,Education,5,526,7,5,667265,3,3,0,661105,1441885,18,30,Late,35,63067,4,267255,0.5873697812393992,0.5235313922590887,11,1
309,61,Female,1059772,152521,60,Salaried,Business,1,664,2,3,166432,4,3,1,1819314,531619,86,25,Late,45,10826,3,294807,0.2285931818418715,0.8976632346592385,12,0
310,28,Female,252103,744804,36,Salaried,Business,2,388,1,5,730208,1,8,0,157152,1584180,58,25,Late,4,92614,4,306878,0.7123864876297967,0.9091475826105092,4,0
311,55,Male,1845308,186564,48,Self-employed,Home,5,619,2,2,317238,6,1,2,1480044,684508,4,52,Paid,28,4052,3,413103,0.6368882673736748,0.2359640895929332,1,0
312,47,Male,1413803,514799,12,Salaried,Home,0,373,9,1,358938,0,1,0,1429167,1011076,63,4,Paid,19,90653,4,494530,0.7367169285476899,0.0611100739755449,0,0
313,38,Female,566375,277616,48,Salaried,Car,5,606,9,6,932357,7,7,0,431583,955895,32,6,Late,87,93969,1,477748,0.760059369853031,0.4768691671707207,1,0
314,33,Male,1768629,178753,12,Self-employed,Car,2,542,4,2,412454,6,7,1,370263,329198,60,58,Paid,24,44471,4,422656,0.7725906751728177,0.5717133229114618,19,0
